SYMBOL,BEST_BID_PRICE,BEST_BID_SIZE,BEST_OFFER_PRICE,BEST_OFFER_SIZE
AAPL,150.30,500,150.20,300
GOOGL,2702.00,200,2700.50,150
AMZN,3502.00,300,3500.75,250
TSLA,801.00,150,800.10,100
MSFT,300.45,400,300.40,350
SPY,440.70,1000,440.60,800
QQQ,370.30,600,370.25,450
DJI,35002.00,200,35000.50,150
VIX,20.20,50,20.10,40
XOM,66.00,300,65.75,250
FB,321.00,400,320.90,350
NVDA,230.75,300,230.60,250
BRK.A,420200.00,5,420000.00,3
T,30.60,800,30.50,600
JPM,150.30,500,150.25,400
WMT,141.00,700,140.75,600
GE,95.50,300,95.40,200
NFLX,550.30,200,550.20,150
PG,140.20,400,140.10,350
GM,61.00,800,60.75,700
TGT,200.40,250,200.30,200
IBM,135.30,450,135.20,350
GOOG,2706.00,150,2705.50,100
CSCO,50.50,300,50.40,250
KO,55.80,400,55.70,350
V,250.70,200,250.60,150
XOM,66.00,300,65.75,250
F,15.90,1500,15.80,1200
INTC,55.30,300,55.20,250
PEP,160.20,350,160.10,300
DIS,180.40,250,180.30,200
WFC,45.70,600,45.60,500
CMCSA,70.30,300,70.25,250
CAT,200.60,150,200.50,100
PM,100.50,400,100.40,350
JNJ,160.70,250,160.60,200
HD,350.30,150,350.20,100
PFE,45.80,300,45.75,250
NKE,161.00,400,160.90,350
VZ,55.40,350,55.30,300
MRK,80.30,150,80.20,100
CVX,100.80,300,100.75,250
MS,90.70,150,90.60,100
BA,220.50,200,220.40,150
AAP,180.20,100,180.10,50
KHC,40.40,500,40.30,450
ABT,120.30,200,120.25,150
KMB,130.50,150,130.40,100
MCD,250.30,400,250.20,350
