SYMBOL,BEST_BID_PRICE,BEST_BID_SIZE,BEST_OFFER_PRICE,BEST_OFFER_SIZE
AAPL,151.30,600,151.20,550
GOOGL,2701.00,200,2700.75,150
AMZN,3501.00,400,3500.50,350
TSLA,810.30,150,810.25,100
MSFT,303.20,400,303.10,350
SPY,441.60,1000,441.50,800
QQQ,371.30,400,371.20,350
DJI,35151.00,200,35150.75,150
VIX,20.70,60,20.60,50
XOM,68.30,800,68.20,750
FB,330.40,500,330.30,450
NVDA,232.60,300,232.50,250
BRK.B,290.80,50,290.75,40
T,32.20,800,32.10,750
JPM,152.60,400,152.50,350
WMT,142.60,600,142.50,550
GE,97.30,700,97.20,650
NFLX,566.00,200,565.75,150
PG,143.90,700,143.80,650
GM,63.30,400,63.20,350
TGT,203.20,300,203.10,250
IBM,138.40,150,138.30,100
CSCO,54.20,500,54.10,450
KO,58.40,400,58.30,350
V,253.20,300,253.10,250
XOM,69.30,600,69.20,550
F,16.70,300,16.60,250
INTC,58.60,400,58.50,350
PEP,164.30,200,164.20,150
DIS,185.50,300,185.40,250
WFC,48.20,600,48.10,550
CMCSA,76.50,800,76.40,750
CAT,206.20,300,206.10,250
PM,106.30,700,106.20,650
JNJ,166.40,150,166.30,100
HD,358.50,300,358.40,250
PFE,50.20,500,50.10,450
NKE,166.60,800,166.50,750
VZ,59.50,300,59.40,250
MRK,86.50,1000,86.40,900
CVX,106.20,400,106.10,350
MS,96.60,200,96.50,150
BA,228.30,300,228.20,250
AAP,188.50,700,188.40,650
KHC,46.30,500,46.20,450
ABT,128.20,400,128.10,350
KMB,138.40,300,138.30,250
MCD,260.20,200,260.10,150
