SYMBOL,BEST_BID_PRICE,BEST_BID_SIZE,BEST_OFFER_PRICE,BEST_OFFER_SIZE
AAPL,153.60,600,153.50,550
GOOGL,2742.25,200,2740.75,150
AMZN,3581.75,400,3580.25,350
TSLA,818.50,150,818.00,100
MSFT,306.40,400,306.30,350
SPY,446.20,800,446.10,750
QQQ,375.50,200,375.40,150
DJI,35455.25,500,35453.75,450
VIX,20.95,60,20.90,50
XOM,72.50,300,72.40,250
FB,335.50,400,335.40,350
NVDA,243.75,150,243.50,100
BRK.B,297.90,300,297.80,250
T,32.80,400,32.70,350
JPM,154.70,200,154.60,150
WMT,144.80,700,144.70,650
GE,99.40,300,99.30,250
NFLX,572.25,200,572.00,150
PG,145.20,1000,145.10,900
GM,64.40,400,64.30,350
TGT,204.50,150,204.40,100
IBM,139.50,200,139.40,150
CSCO,55.40,500,55.30,450
KO,60.60,400,60.50,350
V,255.30,300,255.20,250
XOM,72.60,600,72.50,550
F,17.30,300,17.20,250
INTC,59.70,200,59.60,150
PEP,168.50,200,168.40,150
DIS,185.70,1000,185.60,900
WFC,49.40,400,49.30,350
CMCSA,78.60,300,78.50,250
CAT,208.30,800,208.20,750
PM,108.40,200,108.30,150
JNJ,168.60,400,168.50,350
HD,358.70,300,358.60,250
PFE,50.50,500,50.40,450
NKE,168.80,800,168.70,750
VZ,59.60,300,59.50,250
MRK,88.60,200,88.50,150
CVX,108.40,400,108.30,350
MS,98.80,700,98.70,650
BA,228.50,300,228.40,250
AAP,188.60,700,188.50,650
KHC,46.50,500,46.40,450
ABT,128.40,400,128.30,350
KMB,138.60,700,138.50,650
MCD,260.40,200,260.30,150
